출발구,도착구,전입자수
송파구,양천구,135
양천구,서초구,135
도봉구,강서구,135
중구,서대문구,135
성북구,금천구,133
광진구,금천구,133
구로구,동대문구,132
서대문구,강동구,132
도봉구,영등포구,132
중구,은평구,132
송파구,금천구,131
서초구,은평구,131
도봉구,광진구,130
종로구,강북구,130
광진구,양천구,130
양천구,성북구,129
종로구,송파구,128
금천구,광진구,128
광진구,강북구,128
은평구,종로구,128
서초구,중구,127
동대문구,양천구,127
도봉구,동작구,126
서대문구,금천구,126
중구,서초구,126
구로구,강동구,126
종로구,강서구,126
동대문구,금천구,126
강동구,서초구,125
강서구,중구,125
강남구,양천구,124
강남구,금천구,123
광진구,도봉구,123
구로구,서초구,123
강북구,성동구,122
강북구,중구,122
강동구,서대문구,121
종로구,서초구,121
서초구,구로구,121
마포구,중랑구,121
구로구,중랑구,121
노원구,구로구,120
동작구,종로구,120
용산구,구로구,120
강북구,동작구,119
강북구,강동구,119
도봉구,마포구,118
양천구,광진구,118
구로구,성동구,118
금천구,강동구,118
구로구,용산구,118
성동구,종로구,116
영등포구,종로구,116
구로구,노원구,116
중구,동작구,115
종로구,광진구,115
서초구,중랑구,114
강서구,강북구,114
종로구,동작구,113
강서구,종로구,112
도봉구,은평구,112
노원구,금천구,111
금천구,중랑구,110
강동구,구로구,110
중랑구,서초구,110
마포구,강북구,108
용산구,노원구,108
서대문구,중랑구,107
강동구,용산구,106
서초구,종로구,106
성동구,강북구,106
용산구,강동구,105
도봉구,성동구,104
은평구,강북구,103
서초구,금천구,103
노원구,중구,102
동작구,강북구,102
강서구,도봉구,102
노원구,종로구,101
중랑구,서대문구,101
송파구,도봉구,100
강북구,종로구,100
서초구,양천구,99
강북구,서대문구,99
양천구,노원구,99
종로구,노원구,98
강동구,금천구,98
노원구,용산구,97
광진구,종로구,96
도봉구,강동구,95
용산구,금천구,94
양천구,강동구,94
중구,강서구,94
영등포구,강북구,93
강북구,구로구,93
중랑구,금천구,93
금천구,서초구,93
서대문구,강북구,92
용산구,양천구,92
성동구,구로구,92
금천구,성북구,92
강동구,양천구,91
중랑구,구로구,90
양천구,성동구,90
중구,중랑구,89
동작구,도봉구,88
중구,강동구,87
용산구,중랑구,87
양천구,용산구,87
노원구,양천구,87
영등포구,도봉구,86
성동구,양천구,86
양천구,중랑구,85
강남구,강북구,85
금천구,동대문구,84
강동구,중구,84
송파구,강북구,84
도봉구,구로구,83
강북구,양천구,82
강남구,도봉구,82
강북구,용산구,82
중구,노원구,81
금천구,서대문구,81
성동구,금천구,80
은평구,도봉구,79
성동구,도봉구,79
마포구,도봉구,79
도봉구,서대문구,79
강북구,서초구,78
중랑구,중구,78
중구,강북구,76
중랑구,양천구,75
도봉구,서초구,75
강동구,강북구,74
종로구,중랑구,73
금천구,노원구,72
구로구,중구,71
강동구,종로구,69
금천구,성동구,68
금천구,용산구,68
강동구,도봉구,68
중구,구로구,68
도봉구,금천구,68
중랑구,용산구,67
도봉구,중구,67
용산구,강북구,66
종로구,도봉구,65
용산구,도봉구,65
구로구,강북구,63
서초구,강북구,63
서대문구,도봉구,63
강북구,금천구,62
양천구,종로구,61
도봉구,용산구,60
종로구,구로구,59
종로구,강동구,57
도봉구,종로구,56
도봉구,양천구,55
서초구,도봉구,54
금천구,강북구,53
중구,도봉구,53
양천구,중구,53
종로구,금천구,51
구로구,종로구,50
금천구,중구,49
금천구,도봉구,49
중랑구,종로구,48
양천구,강북구,45
중구,양천구,44
양천구,도봉구,44
구로구,도봉구,43
종로구,양천구,42
중구,금천구,42
금천구,종로구,30
