출발구,도착구,전입자수
송파구,도봉구,365
광진구,용산구,363
강서구,중랑구,361
광진구,서대문구,361
은평구,광진구,361
용산구,강동구,360
은평구,성동구,360
성동구,도봉구,354
노원구,용산구,349
서초구,중랑구,347
광진구,도봉구,347
성북구,양천구,346
종로구,영등포구,344
구로구,용산구,341
노원구,종로구,341
영등포구,종로구,340
은평구,중구,339
강북구,강동구,338
송파구,종로구,338
용산구,노원구,335
관악구,종로구,332
중랑구,영등포구,332
광진구,중구,332
강남구,도봉구,332
용산구,강북구,331
중랑구,동작구,331
도봉구,관악구,327
마포구,금천구,326
송파구,강북구,326
도봉구,강서구,326
서대문구,광진구,323
중구,영등포구,323
금천구,송파구,322
도봉구,광진구,321
도봉구,성동구,320
강동구,은평구,320
강북구,성동구,319
강서구,종로구,318
강동구,영등포구,318
영등포구,노원구,318
종로구,강서구,318
강남구,강북구,317
서대문구,노원구,317
마포구,강북구,313
서대문구,강북구,313
관악구,중구,312
종로구,도봉구,312
종로구,노원구,311
강북구,종로구,308
관악구,도봉구,308
노원구,중구,307
중구,관악구,306
중랑구,마포구,304
중랑구,구로구,304
동작구,중구,299
마포구,중랑구,297
강동구,서대문구,297
은평구,도봉구,296
양천구,성동구,295
강북구,마포구,293
금천구,강남구,293
광진구,양천구,292
구로구,노원구,288
영등포구,중랑구,288
성동구,구로구,287
중구,강북구,286
도봉구,동작구,284
강서구,중구,283
도봉구,마포구,283
중구,노원구,282
강서구,강북구,282
종로구,광진구,281
성동구,양천구,281
양천구,동대문구,280
종로구,동작구,279
강동구,용산구,277
동작구,종로구,276
서대문구,중랑구,276
강북구,서대문구,276
양천구,노원구,276
강북구,동작구,273
종로구,강동구,271
구로구,광진구,271
영등포구,중구,270
중랑구,서초구,268
중구,동작구,264
구로구,동대문구,263
서초구,금천구,261
강남구,금천구,260
마포구,도봉구,258
강동구,구로구,258
노원구,양천구,258
강북구,용산구,257
은평구,금천구,255
종로구,중랑구,254
금천구,은평구,254
도봉구,서초구,253
송파구,금천구,252
강북구,영등포구,252
강서구,도봉구,252
강동구,양천구,246
도봉구,서대문구,245
동작구,강북구,245
금천구,마포구,243
중구,강동구,242
중랑구,서대문구,241
강북구,서초구,238
강북구,구로구,236
중구,강서구,236
양천구,광진구,234
양천구,종로구,232
금천구,서초구,232
서초구,강북구,231
용산구,중랑구,231
구로구,성동구,231
서대문구,도봉구,225
중구,중랑구,225
광진구,금천구,224
동대문구,양천구,223
구로구,중랑구,220
강북구,중구,219
영등포구,강북구,217
도봉구,종로구,217
중랑구,용산구,215
영등포구,도봉구,215
도봉구,구로구,211
서대문구,금천구,211
중랑구,중구,210
동작구,도봉구,210
강동구,강북구,209
용산구,도봉구,208
중랑구,금천구,207
중랑구,양천구,207
도봉구,영등포구,204
종로구,양천구,200
광진구,종로구,200
서초구,도봉구,199
강동구,도봉구,192
중랑구,종로구,191
양천구,중랑구,188
금천구,강동구,185
도봉구,용산구,183
강북구,양천구,183
양천구,중구,182
금천구,서대문구,175
동대문구,금천구,174
금천구,광진구,174
성북구,금천구,173
금천구,동대문구,167
구로구,도봉구,167
구로구,중구,161
금천구,성북구,160
금천구,중랑구,158
도봉구,중구,157
도봉구,양천구,156
중구,양천구,155
구로구,강북구,155
중구,구로구,155
종로구,구로구,153
용산구,금천구,151
구로구,종로구,150
강동구,중구,147
중구,도봉구,146
강동구,종로구,145
양천구,도봉구,143
노원구,금천구,142
양천구,강북구,142
강동구,금천구,137
도봉구,금천구,132
성동구,금천구,129
금천구,용산구,127
금천구,성동구,122
강북구,금천구,121
금천구,노원구,116
금천구,도봉구,106
금천구,강북구,103
중구,금천구,84
종로구,금천구,82
금천구,종로구,69
금천구,중구,60
