출발구,도착구,전입자수
구로구,광진구,156
용산구,구로구,156
동대문구,양천구,155
강북구,은평구,154
강동구,서초구,153
강북구,강남구,153
용산구,종로구,153
양천구,금천구,152
종로구,용산구,152
종로구,강북구,152
구로구,서초구,152
은평구,용산구,152
강북구,마포구,151
구로구,동대문구,151
중구,송파구,150
광진구,도봉구,149
서초구,중랑구,149
중구,동작구,149
구로구,서대문구,148
노원구,서초구,148
강북구,동작구,148
강북구,강동구,148
도봉구,광진구,147
중구,은평구,147
서대문구,금천구,146
강동구,구로구,145
강서구,중구,144
종로구,강서구,144
서대문구,노원구,143
양천구,동대문구,142
송파구,금천구,141
중구,광진구,141
양천구,광진구,141
양천구,서대문구,140
성동구,종로구,138
강동구,은평구,138
동작구,종로구,138
용산구,강동구,138
은평구,종로구,138
도봉구,강서구,138
은평구,서초구,138
강남구,금천구,138
서대문구,중랑구,136
중구,서대문구,136
중랑구,서초구,136
금천구,광진구,135
강서구,도봉구,135
강동구,서대문구,135
은평구,강북구,135
광진구,금천구,134
양천구,성북구,134
서초구,노원구,133
도봉구,영등포구,133
중랑구,구로구,132
양천구,노원구,132
금천구,은평구,131
금천구,서초구,131
중구,강서구,131
도봉구,동작구,130
동대문구,금천구,130
강북구,성동구,130
중구,서초구,129
구로구,중랑구,129
은평구,중구,129
송파구,종로구,128
도봉구,송파구,128
양천구,강동구,128
강북구,종로구,127
금천구,중랑구,127
노원구,구로구,127
서초구,양천구,127
강서구,종로구,126
동작구,강북구,125
종로구,동작구,125
서초구,종로구,124
도봉구,성동구,123
영등포구,종로구,123
도봉구,강동구,123
구로구,용산구,122
동작구,중구,122
도봉구,마포구,122
광진구,양천구,122
종로구,서초구,121
양천구,성동구,120
강서구,강북구,120
서초구,금천구,118
도봉구,강남구,118
용산구,중랑구,116
중랑구,금천구,115
서초구,은평구,113
송파구,강북구,113
성북구,금천구,113
강북구,서대문구,112
용산구,양천구,112
동작구,도봉구,111
용산구,노원구,111
구로구,성동구,110
중구,강동구,109
마포구,강북구,109
종로구,광진구,109
노원구,종로구,109
강동구,금천구,108
용산구,강북구,107
양천구,용산구,107
도봉구,은평구,105
구로구,노원구,105
영등포구,강북구,105
종로구,강동구,104
중랑구,서대문구,104
금천구,서대문구,103
금천구,성북구,103
금천구,동대문구,102
송파구,도봉구,102
성동구,강북구,101
노원구,금천구,101
중구,강북구,101
노원구,용산구,100
영등포구,도봉구,100
성동구,양천구,99
성동구,구로구,99
서대문구,강북구,98
중구,중랑구,98
금천구,용산구,97
은평구,도봉구,97
노원구,양천구,96
강남구,도봉구,96
강북구,금천구,96
강북구,구로구,96
중구,노원구,94
광진구,종로구,92
강동구,중구,92
강동구,도봉구,91
마포구,도봉구,91
강북구,서초구,91
노원구,중구,90
강동구,용산구,89
성동구,금천구,85
종로구,노원구,85
중랑구,중구,84
강북구,중구,84
종로구,중랑구,84
강동구,양천구,82
강북구,용산구,82
구로구,강북구,82
강남구,강북구,81
구로구,도봉구,80
용산구,금천구,80
도봉구,서대문구,80
금천구,노원구,79
구로구,종로구,78
종로구,도봉구,78
강동구,종로구,78
도봉구,구로구,77
양천구,종로구,77
성동구,도봉구,75
중랑구,종로구,75
도봉구,용산구,75
양천구,중랑구,75
도봉구,서초구,75
중랑구,용산구,74
구로구,중구,73
종로구,구로구,72
강동구,강북구,71
금천구,성동구,70
중랑구,양천구,69
도봉구,금천구,68
서대문구,도봉구,68
도봉구,종로구,67
종로구,양천구,66
서초구,도봉구,65
중구,구로구,64
양천구,중구,64
중구,양천구,64
강북구,양천구,62
중구,도봉구,61
양천구,강북구,56
종로구,금천구,53
금천구,강북구,53
서초구,강북구,52
도봉구,중구,52
금천구,도봉구,51
용산구,도봉구,50
양천구,도봉구,48
금천구,종로구,43
도봉구,양천구,40
금천구,중구,39
중구,금천구,34
